[info] welcome to sbt 1.12.11 (Eclipse Adoptium Java 21.0.11)
[info] loading global plugins from /Users/mariocallisto/.sbt/1.0/plugins
[info] loading settings for project uniform-tilings-build from plugins.sbt...
[info] loading project definition from /Users/mariocallisto/IdeaProjects/scala-tessella/uniform-tilings/project
[info] loading settings for project root from build.sbt...
[info] set current project to uniform-tilings (in build file:/Users/mariocallisto/IdeaProjects/scala-tessella/uniform-tilings/)
[info] compiling 1 Scala source to /Users/mariocallisto/IdeaProjects/scala-tessella/uniform-tilings/core/target/scala-3.8.4/classes ...
[info] done compiling
  [relaxed maxSize=24] 1215s  dsets=578884 (476/s)  distinct=878
  [relaxed maxSize=24] 1230s  dsets=583947 (474/s)  distinct=892
  [relaxed maxSize=24] 1245s  dsets=586988 (471/s)  distinct=892
  [relaxed maxSize=24] 1260s  dsets=589514 (467/s)  distinct=896
  [relaxed maxSize=24] 1275s  dsets=600156 (470/s)  distinct=899
  [relaxed maxSize=24] 1290s  dsets=608492 (471/s)  distinct=906
  [relaxed maxSize=24] 1305s  dsets=618804 (474/s)  distinct=944
  [relaxed maxSize=24] 1320s  dsets=629453 (476/s)  distinct=948
  [relaxed maxSize=24] 1335s  dsets=642817 (481/s)  distinct=949
  [relaxed maxSize=24] 1350s  dsets=660430 (489/s)  distinct=951
  [relaxed maxSize=24] 1365s  dsets=667397 (488/s)  distinct=953
  [relaxed maxSize=24] 1380s  dsets=671776 (486/s)  distinct=953
  [relaxed maxSize=24] 1395s  dsets=685261 (491/s)  distinct=954
  [relaxed maxSize=24] 1410s  dsets=692759 (491/s)  distinct=954
  [relaxed maxSize=24] 1425s  dsets=699684 (490/s)  distinct=955
  [relaxed maxSize=24] 1440s  dsets=714854 (496/s)  distinct=955
  [relaxed maxSize=24] 1455s  dsets=720483 (495/s)  distinct=955
  [relaxed maxSize=24] 1470s  dsets=723635 (492/s)  distinct=955
  [relaxed maxSize=24] 1485s  dsets=725099 (488/s)  distinct=955
  [relaxed maxSize=24] 1500s  dsets=729106 (485/s)  distinct=956
  [relaxed maxSize=24] 1515s  dsets=734688 (484/s)  distinct=957
  [relaxed maxSize=24] 1530s  dsets=740584 (483/s)  distinct=958
  [relaxed maxSize=24] 1545s  dsets=745787 (482/s)  distinct=958
  [relaxed maxSize=24] 1560s  dsets=748905 (479/s)  distinct=958
