count=473
z=3.4.4.6	n=3	chambers=22	regularOrbits=0,1,2	irregularOrbits=3	source=certs/uclass-k4/window-hits-min1-maxSize24.tsv	key=2,3,2,4|4;1,4,1,4|4;5,1,6,4|4;7,2,8,4|4;3,9,10,4|3;10,11,3,3|4;4,12,13,4|4;13,14,4,6|4;12,5,15,4|3;6,16,5,3|3;17,6,14,3|4;9,7,18,4|4;8,19,7,6|4;19,8,11,6|4;18,20,9,12|3;21,10,20,3|3;11,21,19,3|4;15,22,12,12|4;14,13,17,6|4;22,15,16,12|3;16,17,22,3|4;20,18,21,12|4;
z=3.4.4.6	n=3	chambers=24	regularOrbits=0,1,2	irregularOrbits=3	source=certs/uclass-k4/window-hits-min1-maxSize24.tsv	key=2,3,2,4|4;1,4,1,4|4;5,1,6,4|4;7,2,8,4|4;3,9,10,4|5;10,11,3,3|4;4,12,13,4|5;13,14,4,6|4;12,5,12,4|5;6,15,5,3|5;16,6,14,3|4;9,7,9,4|5;8,17,7,6|5;18,8,11,6|4;19,10,20,3|5;11,19,18,3|3;21,13,22,6|5;14,21,16,6|3;15,16,23,3|3;23,22,15,4|5;17,18,24,6|3;24,20,17,4|5;20,24,19,4|3;22,23,21,4|3;
z=3.4.4.6	n=3	chambers=24	regularOrbits=0,1,2,3	irregularOrbits=4	source=certs/uclass-k4/window-hits-min1-maxSize24.tsv	key=1,2,3,4|4;4,1,5,4|4;3,6,1,4|4;2,7,8,4|5;8,9,2,3|4;10,3,11,4|4;7,4,12,4|5;5,13,4,3|5;14,5,15,3|4;6,12,16,4|5;16,15,6,6|4;12,10,7,4|5;17,8,18,3|5;9,17,19,3|3;19,11,9,6|4;11,20,10,6|5;13,14,21,3|3;21,22,13,4|5;15,23,14,6|3;23,16,22,6|5;18,24,17,4|3;24,18,20,4|5;20,19,24,6|3;22,21,23,4|3;
z=3.4.4.6	n=3	chambers=24	regularOrbits=0,1,2,3	irregularOrbits=4	source=certs/uclass-k4/window-hits-min1-maxSize24.tsv	key=1,2,3,4|4;4,1,5,4|4;3,6,1,6|4;2,7,8,4|5;8,9,2,4|4;10,3,11,6|4;7,4,12,4|5;5,13,4,4|5;13,5,14,4|4;6,15,16,6|3;16,14,6,3|4;12,17,7,6|5;9,8,18,4|5;18,11,9,3|4;17,10,19,6|3;11,20,10,3|3;15,12,21,6|5;14,22,13,3|5;21,23,15,4|3;22,16,23,3|3;19,24,17,4|5;20,18,24,3|5;24,19,20,4|3;23,21,22,4|5;
z=3.4.4.6	n=3	chambers=24	regularOrbits=0,1,3,4	irregularOrbits=2	source=certs/uclass-k4/window-hits-min1-maxSize24.tsv	key=2,3,4,3|3;1,5,6,3|4;7,1,8,3|3;6,9,1,6|3;10,2,11,3|4;4,12,2,6|4;3,10,13,3|5;13,14,3,4|3;15,4,14,6|3;5,7,16,3|5;16,17,5,4|4;18,6,19,6|4;8,20,7,4|5;20,8,9,4|3;9,18,20,6|5;11,21,10,4|5;21,11,22,4|4;12,15,23,6|5;23,22,12,4|4;14,13,15,4|5;17,16,24,4|5;24,19,17,4|4;19,24,18,4|5;22,23,21,4|5;
z=3.4.4.6	n=3	chambers=24	regularOrbits=0,1,2,3,4	irregularOrbits=5	source=certs/uclass-k4/window-hits-min1-maxSize24.tsv	key=1,2,3,4|4;2,1,4,4|4;3,5,1,4|4;4,6,2,6|4;7,3,8,4|4;9,4,10,6|4;5,11,12,4|5;12,10,5,3|4;6,13,14,6|3;14,8,6,3|4;11,7,15,4|5;8,16,7,3|5;17,9,18,6|3;10,19,9,3|3;15,20,11,4|5;19,12,21,3|5;13,22,23,6|5;23,24,13,4|3;16,14,24,3|3;20,15,22,4|5;24,23,16,4|5;22,17,20,6|5;18,21,17,4|5;21,18,19,4|3;
z=3.4.4.6	n=3	chambers=24	regularOrbits=1,2,3	irregularOrbits=0	source=certs/uclass-k4/window-hits-min1-maxSize24.tsv	key=1,2,3,4|3;4,1,5,4|3;3,6,1,6|3;2,7,8,4|5;8,9,2,3|3;10,3,9,6|3;7,4,11,4|5;5,12,4,3|5;13,5,6,3|3;6,14,13,6|4;11,15,7,6|5;16,8,17,3|5;9,16,10,3|4;15,10,18,6|4;14,11,19,6|5;12,13,20,3|4;20,21,12,4|5;19,22,14,4|4;18,23,15,4|5;17,24,16,4|4;22,17,23,4|5;21,18,24,4|4;24,19,21,4|5;23,20,22,4|4;
z=3.4.4.6	n=3	chambers=24	regularOrbits=1,2,3	irregularOrbits=0	source=certs/uclass-k4/window-hits-min1-maxSize24.tsv	key=1,2,3,4|3;4,1,5,4|3;3,6,1,6|3;2,7,8,4|5;8,9,2,3|3;10,3,9,6|3;7,4,11,4|5;5,12,4,3|5;13,5,6,3|3;6,14,13,6|4;11,15,7,6|5;16,8,17,3|5;9,16,10,3|4;15,10,18,6|4;14,11,19,6|5;12,13,20,3|4;20,21,12,4|5;19,22,14,4|4;18,23,15,4|5;17,24,16,4|4;23,17,23,4|5;24,18,24,4|4;21,19,21,4|5;22,20,22,4|4;
z=3.4.4.6	n=3	chambers=24	regularOrbits=0,1,3	irregularOrbits=2	source=certs/uclass-k4/window-hits-min1-maxSize24.tsv	key=2,3,4,3|3;1,5,6,3|4;7,1,8,3|3;6,9,1,6|3;10,2,11,3|4;4,12,2,6|4;3,10,13,3|5;13,14,3,4|3;15,4,14,6|3;5,7,16,3|5;16,17,5,4|4;18,6,19,6|4;8,20,7,4|5;20,8,9,4|3;9,18,20,6|5;11,21,10,4|5;22,11,23,4|4;12,15,24,6|5;24,23,12,4|4;14,13,15,4|5;23,16,22,4|5;17,24,21,4|5;21,19,17,4|4;19,22,18,4|5;
z=3.4.4.6	n=3	chambers=24	regularOrbits=1,2,3,4	irregularOrbits=0	source=certs/uclass-k4/window-hits-min1-maxSize24.tsv	key=1,2,3,4|3;4,1,5,4|3;3,6,1,6|3;2,7,8,4|5;8,9,2,3|3;10,3,9,6|3;7,4,11,4|5;5,12,4,3|5;13,5,6,3|3;6,14,13,6|4;11,15,7,6|5;16,8,17,3|5;9,16,10,3|4;15,10,18,6|4;14,11,19,6|5;12,13,20,3|4;20,21,12,4|5;19,22,14,4|4;18,23,15,4|5;17,24,16,4|4;21,17,23,4|5;22,18,24,4|4;23,19,21,4|5;24,20,22,4|4;
