count=30
z=3.3.6.6	claimed=7	n=3	chambers=26	sigs=List(3.3.6.6, 3.4.4.3.6, 3.3.4.4)	regularOrbits=0,1,2	irregularOrbits=3,4	key=2,3,2,6|4;1,4,1,6|4;5,1,6,6|4;7,2,8,6|4;3,7,9,6|5;9,10,3,3|4;4,5,11,6|5;11,12,4,3|4;6,13,5,3|5;14,6,12,3|4;8,15,7,3|5;16,8,10,3|4;17,9,18,3|5;10,17,16,3|4;19,11,20,3|5;12,19,14,3|4;13,14,21,3|4;21,22,13,4|5;15,16,23,3|4;23,24,15,4|5;18,25,17,4|4;25,18,24,4|5;20,26,19,4|4;26,20,22,4|5;22,21,26,4|4;24,23,25,4|4;
z=3.3.6.6	claimed=7	n=3	chambers=26	sigs=List(3.3.6.6, 3.4.4.4.3.6, 3.3.4)	regularOrbits=0,1,2	irregularOrbits=3	key=1,2,3,6|4;4,1,5,6|4;3,6,1,6|4;2,7,8,6|6;8,9,2,3|4;7,3,10,6|4;6,4,11,6|6;5,12,4,3|6;13,5,14,3|4;11,14,6,3|4;10,15,7,3|6;16,8,17,3|6;9,16,18,3|3;18,10,9,3|4;19,11,20,3|6;12,13,21,3|3;21,22,12,4|6;14,19,13,3|3;15,18,23,3|3;23,24,15,4|6;17,23,16,4|3;25,17,25,4|6;20,21,19,4|3;26,20,26,4|6;22,26,22,4|6;24,25,24,4|6;
z=3.3.6.6	claimed=7	n=3	chambers=26	sigs=List(3.3.6.6, 3.4.4.4.3.6, 3.3.4)	regularOrbits=0,1,2	irregularOrbits=3	key=1,2,3,6|4;4,1,5,6|4;3,6,1,6|4;2,7,8,6|6;8,9,2,3|4;7,3,10,6|4;6,4,11,6|6;5,12,4,3|6;13,5,14,3|4;11,14,6,3|4;10,15,7,3|6;16,8,17,3|6;9,16,18,3|3;18,10,9,3|4;19,11,20,3|6;12,13,21,3|3;21,22,12,4|6;14,19,13,3|3;15,18,23,3|3;23,24,15,4|6;17,23,16,4|3;25,17,26,4|6;20,21,19,4|3;26,20,25,4|6;22,26,24,4|6;24,25,22,4|6;
z=3.3.6.6	claimed=7	n=3	chambers=26	sigs=List(3.3.6.6, 3.4.4.4.3.6, 3.3.4)	regularOrbits=0,1,2	irregularOrbits=3	key=2,3,2,6|4;1,4,1,6|4;5,1,6,6|4;7,2,8,6|4;3,7,9,6|6;9,10,3,3|4;4,5,11,6|6;11,12,4,3|4;6,13,5,3|6;14,6,12,3|4;8,15,7,3|6;16,8,10,3|4;17,9,18,3|6;10,17,16,3|3;19,11,20,3|6;12,19,14,3|3;13,14,21,3|3;21,22,13,4|6;15,16,23,3|3;23,24,15,4|6;18,23,17,4|3;25,18,26,4|6;20,21,19,4|3;26,20,25,4|6;22,26,24,4|6;24,25,22,4|6;
z=3.3.6.6	claimed=7	n=3	chambers=26	sigs=List(3.4.4.4.3.6, 3.3.4, 3.3.6.6)	regularOrbits=1,2,3	irregularOrbits=0	key=2,3,2,4|6;1,4,1,4|6;5,1,5,4|6;6,2,7,4|6;3,8,3,4|6;4,9,10,4|3;10,11,4,3|6;9,5,12,4|6;8,6,13,4|3;7,14,6,3|3;15,7,16,3|6;13,17,8,3|6;12,18,9,3|3;19,10,18,3|3;11,19,20,3|4;20,21,11,6|6;22,12,21,3|6;23,13,14,3|3;14,15,23,3|4;16,24,15,6|4;25,16,17,6|6;17,23,25,3|4;18,22,19,3|4;26,20,26,6|4;21,26,22,6|4;24,25,24,6|4;
z=3.4.4.6	claimed=3	n=3	chambers=26	sigs=List(3.3.3.4.4.6, 3.3.6, 3.4.4.6)	regularOrbits=1,2,3	irregularOrbits=0	key=2,3,2,3|6;1,4,1,3|6;5,1,6,3|6;7,2,8,3|6;3,7,9,3|3;9,10,3,3|6;4,5,11,3|3;11,12,4,6|6;6,13,5,3|3;14,6,15,3|6;8,16,7,6|3;17,8,18,6|6;19,9,16,3|3;10,19,20,3|4;20,21,10,4|6;22,11,13,6|3;12,22,23,6|4;23,24,12,4|6;13,14,22,3|4;15,25,14,4|4;24,15,24,4|6;16,17,19,6|4;18,26,17,4|4;21,18,21,4|6;26,20,26,4|4;25,23,25,4|4;
z=3.4.4.6	claimed=3	n=3	chambers=26	sigs=List(3.3.3.4.4.6, 3.3.6, 3.4.4.6)	regularOrbits=1,2,3	irregularOrbits=0	key=2,3,2,3|6;1,4,1,3|6;5,1,6,3|6;7,2,8,3|6;3,7,9,3|3;9,10,3,3|6;4,5,11,3|3;11,12,4,6|6;6,13,5,3|3;14,6,15,3|6;8,16,7,6|3;17,8,18,6|6;19,9,16,3|3;10,19,20,3|4;20,21,10,4|6;22,11,13,6|3;12,22,23,6|4;23,24,12,4|6;13,14,22,3|4;15,25,14,4|4;26,15,24,4|6;16,17,19,6|4;18,26,17,4|4;25,18,21,4|6;24,20,26,4|4;21,23,25,4|4;
z=3.4.4.6	claimed=3	n=3	chambers=26	sigs=List(3.3.3.4.4.6, 3.3.6, 3.4.4.6)	regularOrbits=1,2,3,4	irregularOrbits=0	key=2,3,2,3|6;1,4,1,3|6;5,1,6,3|6;7,2,8,3|6;3,7,9,3|3;9,10,3,3|6;4,5,11,3|3;11,12,4,6|6;6,13,5,3|3;14,6,15,3|6;8,16,7,6|3;17,8,18,6|6;19,9,16,3|3;10,19,20,3|4;20,21,10,4|6;22,11,13,6|3;12,22,23,6|4;23,24,12,4|6;13,14,22,3|4;15,25,14,4|4;25,15,24,4|6;16,17,19,6|4;18,26,17,4|4;26,18,21,4|6;21,20,26,4|4;24,23,25,4|4;
z=3.4.4.6	claimed=3	n=3	chambers=26	sigs=List(3.3.3.6, 3.3.4.4.6, 3.4.4.6)	regularOrbits=1,2,3	irregularOrbits=0	key=2,3,2,3|4;1,4,1,3|4;5,1,6,3|4;7,2,8,3|4;3,7,9,3|5;9,10,3,3|4;4,5,11,3|5;11,12,4,6|4;6,13,5,3|5;14,6,12,3|4;8,15,7,6|5;16,8,10,6|4;17,9,18,3|5;10,17,16,3|4;19,11,20,6|5;12,19,14,6|4;13,14,21,3|4;21,22,13,4|5;15,16,23,6|4;23,24,15,4|5;18,25,17,4|4;24,18,24,4|5;20,26,19,4|4;22,20,22,4|5;26,21,26,4|4;25,23,25,4|4;
z=3.4.4.6	claimed=3	n=3	chambers=26	sigs=List(3.3.3.6, 3.3.4.4.6, 3.4.4.6)	regularOrbits=1,2,3	irregularOrbits=0	key=2,3,2,3|4;1,4,1,3|4;5,1,6,3|4;7,2,8,3|4;3,7,9,3|5;9,10,3,3|4;4,5,11,3|5;11,12,4,6|4;6,13,5,3|5;14,6,12,3|4;8,15,7,6|5;16,8,10,6|4;17,9,18,3|5;10,17,16,3|4;19,11,20,6|5;12,19,14,6|4;13,14,21,3|4;21,22,13,4|5;15,16,23,6|4;23,24,15,4|5;18,25,17,4|4;26,18,24,4|5;20,26,19,4|4;25,20,22,4|5;24,21,26,4|4;22,23,25,4|4;
z=3.4.4.6	claimed=3	n=3	chambers=26	sigs=List(3.3.3.6, 3.3.4.4.6, 3.4.4.6)	regularOrbits=1,2,3,4	irregularOrbits=0	key=2,3,2,3|4;1,4,1,3|4;5,1,6,3|4;7,2,8,3|4;3,7,9,3|5;9,10,3,3|4;4,5,11,3|5;11,12,4,6|4;6,13,5,3|5;14,6,12,3|4;8,15,7,6|5;16,8,10,6|4;17,9,18,3|5;10,17,16,3|4;19,11,20,6|5;12,19,14,6|4;13,14,21,3|4;21,22,13,4|5;15,16,23,6|4;23,24,15,4|5;18,25,17,4|4;25,18,24,4|5;20,26,19,4|4;26,20,22,4|5;22,21,26,4|4;24,23,25,4|4;
z=3.4.4.6	claimed=3	n=3	chambers=26	sigs=List(3.3.4.3.6, 3.3.4.6, 3.4.4.6)	regularOrbits=0,2,3,4	irregularOrbits=1	key=2,2,3,6|5;1,1,4,6|5;4,5,1,3|5;3,6,2,3|5;7,3,8,3|5;9,4,10,3|5;5,9,11,3|4;11,12,5,3|5;6,7,13,3|4;13,14,6,4|5;8,15,7,3|4;16,8,14,3|5;10,17,9,4|4;18,10,12,4|5;19,11,20,3|4;12,19,18,3|4;21,13,22,4|4;14,23,16,4|4;15,16,24,3|4;24,22,15,6|4;17,25,26,4|4;26,20,17,6|4;25,18,25,4|4;20,26,19,6|4;23,21,23,4|4;22,24,21,6|4;
z=3.4.4.6	claimed=3	n=3	chambers=26	sigs=List(3.4.4.6, 3.3.3.4.4.6, 3.3.6)	regularOrbits=0,1,2,3	irregularOrbits=4	key=1,2,3,4|4;4,1,5,4|4;3,6,1,4|4;2,7,8,4|6;8,9,2,3|4;10,3,11,4|4;7,4,12,4|6;5,13,4,3|6;14,5,15,3|4;6,12,16,4|6;16,15,6,6|4;12,10,7,4|6;17,8,18,3|6;9,17,19,3|3;19,11,9,6|4;11,20,10,6|6;13,14,21,3|3;21,22,13,3|6;15,23,14,6|3;23,16,24,6|6;18,25,17,3|3;26,18,26,3|6;20,19,25,6|3;25,26,20,3|6;24,21,23,3|3;22,24,22,3|6;
z=3.4.4.6	claimed=3	n=3	chambers=26	sigs=List(3.4.4.6, 3.3.3.4.4.6, 3.3.6)	regularOrbits=0,1,2,3	irregularOrbits=4	key=1,2,3,4|4;4,1,5,4|4;3,6,1,6|4;2,7,8,4|6;8,9,2,4|4;10,3,11,6|4;7,4,12,4|6;5,13,4,4|6;13,5,14,4|4;6,15,16,6|3;16,14,6,3|4;12,17,7,6|6;9,8,18,4|6;18,11,9,3|4;17,10,19,6|3;11,20,10,3|3;15,12,21,6|6;14,22,13,3|6;21,23,15,3|3;22,16,23,3|3;19,24,17,3|6;20,18,25,3|6;25,19,20,3|3;26,21,26,3|6;23,26,22,3|6;24,25,24,3|6;
z=3.4.4.6	claimed=3	n=3	chambers=26	sigs=List(3.4.4.6, 3.3.3.4.4.6, 3.3.6)	regularOrbits=0,1,2,3,4	irregularOrbits=5	key=1,2,3,4|4;2,1,4,4|4;3,5,1,4|4;4,6,2,6|4;7,3,8,4|4;9,4,10,6|4;5,11,12,4|6;12,10,5,3|4;6,13,14,6|3;14,8,6,3|4;11,7,15,4|6;8,16,7,3|6;17,9,18,6|3;10,19,9,3|3;15,20,11,4|6;19,12,21,3|6;13,22,23,6|6;23,24,13,3|3;16,14,24,3|3;20,15,22,4|6;24,25,16,3|6;22,17,20,6|6;18,26,17,3|6;21,18,19,3|3;26,21,26,3|6;25,23,25,3|6;
z=3.4.4.6	claimed=3	n=3	chambers=26	sigs=List(3.4.4.6, 3.3.4.4.6, 3.3.3.6)	regularOrbits=0,1,2,3	irregularOrbits=4	key=1,2,3,4|4;4,1,5,4|4;3,6,1,4|4;2,7,8,4|5;8,9,2,3|4;10,3,11,4|4;7,4,12,4|5;5,13,4,3|5;14,5,15,3|4;6,12,16,4|5;16,15,6,6|4;12,10,7,4|5;17,8,18,3|5;9,17,19,3|4;19,11,9,6|4;11,20,10,6|5;13,14,21,3|4;21,22,13,3|5;15,23,14,6|4;23,16,22,6|5;18,24,17,3|4;25,18,20,3|5;20,19,25,6|4;26,21,26,3|4;22,26,23,3|4;24,25,24,3|4;
z=3.4.4.6	claimed=3	n=3	chambers=26	sigs=List(3.4.4.6, 3.3.4.4.6, 3.3.3.6)	regularOrbits=0,1,2,3	irregularOrbits=4	key=1,2,3,4|4;4,1,5,4|4;3,6,1,6|4;2,7,8,4|5;8,9,2,4|4;10,3,11,6|4;7,4,12,4|5;5,13,4,4|5;13,5,14,4|4;6,15,16,6|4;16,14,6,3|4;12,17,7,6|5;9,8,18,4|5;18,11,9,3|4;17,10,19,6|4;11,20,10,3|4;15,12,21,6|5;14,22,13,3|5;21,23,15,3|4;22,16,24,3|4;19,25,17,3|5;20,18,25,3|5;26,19,26,3|4;25,26,20,3|4;24,21,22,3|5;23,24,23,3|4;
z=3.4.4.6	claimed=3	n=3	chambers=26	sigs=List(3.4.4.6, 3.3.4.4.6, 3.3.3.6)	regularOrbits=0,1,2,3,4	irregularOrbits=5	key=1,2,3,4|4;2,1,4,4|4;3,5,1,4|4;4,6,2,6|4;7,3,8,4|4;9,4,10,6|4;5,11,12,4|5;12,10,5,3|4;6,13,14,6|4;14,8,6,3|4;11,7,15,4|5;8,16,7,3|5;17,9,18,6|4;10,19,9,3|4;15,20,11,4|5;19,12,21,3|5;13,22,23,6|5;23,24,13,3|4;16,14,25,3|4;20,15,22,4|5;25,23,16,3|5;22,17,20,6|5;18,21,17,3|5;26,18,26,3|4;21,26,19,3|4;24,25,24,3|4;
z=3.4.4.6	claimed=3	n=3	chambers=26	sigs=List(3.4.4.6, 3.3.4.6, 3.3.4.3.6)	regularOrbits=0,1,2,3,5	irregularOrbits=4	key=1,2,3,4|4;2,1,4,4|4;3,5,1,4|4;4,6,2,6|4;7,3,8,4|4;9,4,10,6|4;5,11,12,4|4;12,10,5,3|4;6,13,14,6|5;14,8,6,3|4;11,7,15,4|4;8,16,7,3|4;17,9,18,6|5;10,19,9,3|5;15,17,11,6|4;19,12,20,3|4;13,15,21,6|4;21,22,13,3|5;16,14,23,3|5;23,21,16,3|4;18,20,17,3|4;24,18,25,3|5;20,24,19,3|5;22,23,26,3|5;26,26,22,4|5;25,25,24,4|5;
