count=8
z=3.10.15	claimed=5	n=5	chambers=22	sigs=List(3.10.15, 3.15.36, 3.10.36, 15.36, 10.36)	regularOrbits=0,1,2	irregularOrbits=3	key=1,2,3,10|3;4,1,5,10|3;3,6,1,15|3;2,7,8,10|3;8,9,2,3|3;10,3,9,15|3;11,4,12,10|3;5,13,4,3|3;14,5,6,3|3;6,15,14,15|3;7,11,16,10|2;16,17,7,36|3;18,8,17,3|3;9,18,10,3|3;19,10,20,15|3;12,16,11,36|2;21,12,13,36|3;13,14,21,3|3;15,19,22,15|2;22,21,15,36|3;17,20,18,36|3;20,22,19,36|2;
z=3.8.24	claimed=3	n=3	chambers=18	sigs=List(3.12.24, 3.8.24, 3.8.12)	regularOrbits=0,2,3	irregularOrbits=1	key=1,2,3,12|3;4,1,5,12|3;3,6,1,24|3;2,7,8,12|3;8,9,2,3|3;10,3,9,24|3;7,4,11,12|3;5,12,4,3|3;13,5,6,3|3;6,14,13,24|3;11,15,7,8|3;16,8,15,3|3;9,16,10,3|3;14,10,17,24|3;18,11,12,8|3;12,13,18,3|3;17,18,14,8|3;15,17,16,8|3;
z=3.8.24	claimed=3	n=4	chambers=22	sigs=List(24.24, 3.24.24, 3.8.24, 3.8.24)	regularOrbits=0,2,3	irregularOrbits=1	key=1,2,3,24|2;4,1,5,24|2;3,5,1,24|2;2,6,7,24|3;7,3,2,24|2;8,4,9,24|3;5,10,4,24|3;6,11,12,24|3;12,13,6,3|3;14,7,13,24|3;11,8,15,24|3;9,16,8,3|3;17,9,10,3|3;10,18,17,24|3;15,19,11,8|3;20,12,19,3|3;13,20,14,3|3;18,14,21,24|3;22,15,16,8|3;16,17,22,3|3;21,22,18,8|3;19,21,20,8|3;
z=3.8.24	claimed=3	n=4	chambers=22	sigs=List(24.24, 3.24.24, 3.8.24, 3.8.24)	regularOrbits=1,2,3	irregularOrbits=0	key=1,2,3,24|2;4,1,5,24|2;3,5,1,24|2;2,6,7,24|3;7,3,2,24|2;8,4,9,24|3;5,10,4,24|3;6,11,12,24|3;12,13,6,3|3;14,7,13,24|3;11,8,15,24|3;9,16,8,3|3;17,9,10,3|3;10,18,17,24|3;15,19,11,8|3;20,12,19,3|3;13,20,14,3|3;18,14,21,24|3;22,15,16,8|3;16,17,22,3|3;21,22,18,8|3;19,21,20,8|3;
z=3.8.24	claimed=3	n=4	chambers=24	sigs=List(6.8.24, 3.6.24, 3.8.24, 3.6.8)	regularOrbits=0,1,3,4	irregularOrbits=2	key=1,2,3,24|3;4,1,5,24|3;3,6,1,8|3;2,7,8,24|3;8,9,2,3|3;10,3,9,8|3;11,4,12,24|3;5,13,4,3|3;14,5,6,3|3;6,15,14,8|3;7,16,17,24|3;17,18,7,6|3;19,8,18,3|3;9,19,10,3|3;15,10,20,8|3;16,11,21,24|3;12,22,11,6|3;23,12,13,6|3;13,14,23,3|3;20,23,15,6|3;21,24,16,8|3;22,17,24,6|3;18,20,19,6|3;24,21,22,8|3;
z=3.9.18	claimed=4	n=4	chambers=24	sigs=List(6.9.18, 3.9.18, 3.6.18, 3.6.9)	regularOrbits=0,1,3	irregularOrbits=2	key=2,3,4,18|3;1,5,6,18|3;7,1,8,18|3;6,9,1,3|3;10,2,11,18|3;4,12,2,3|3;3,10,13,18|3;13,14,3,6|3;15,4,14,3|3;5,7,16,18|3;16,17,5,9|3;18,6,17,3|3;8,19,7,6|3;20,8,9,6|3;9,18,20,3|3;11,21,10,9|3;22,11,12,9|3;12,15,22,3|3;23,13,21,6|3;14,23,15,6|3;24,16,19,9|3;17,24,18,9|3;19,20,24,6|3;21,22,23,9|3;
z=3.9.18	claimed=4	n=4	chambers=24	sigs=List(6.9.18, 3.9.18, 3.6.9, 3.6.18)	regularOrbits=0,2,3	irregularOrbits=1	key=1,2,3,18|3;4,1,5,18|3;3,6,1,6|3;2,7,8,18|3;8,9,2,3|3;10,3,9,6|3;11,4,12,18|3;5,13,4,3|3;14,5,6,3|3;6,15,14,6|3;7,16,17,18|3;17,18,7,9|3;19,8,18,3|3;9,19,10,3|3;20,10,21,6|3;16,11,22,18|3;12,23,11,9|3;24,12,13,9|3;13,14,24,3|3;15,22,23,6|3;23,24,15,9|3;22,20,16,6|3;21,17,20,9|3;18,21,19,9|3;
z=4.5.20	claimed=7	n=4	chambers=16	sigs=List(4.5.20, 5.16.20, 16.20, 5.16)	regularOrbits=0,1,2	irregularOrbits=3	key=1,2,3,20|3;4,1,5,20|3;3,6,1,4|3;2,7,8,20|3;8,9,2,5|3;6,3,9,4|3;10,4,11,20|3;5,12,4,5|3;9,5,6,5|3;7,10,13,20|2;13,14,7,16|3;15,8,14,5|3;11,13,10,16|2;16,11,12,16|3;12,15,16,5|2;14,16,15,16|2;
