count=654
z=3.10.15	claimed=5	n=7	chambers=36	sigs=List(10.24, 4.10.24, 4.10.14, 3.10.14, 3.10.15, 3.14.15, 14.15)	regularOrbits=1,4,5	irregularOrbits=0,2,3	key=1,2,3,10|2;4,1,5,10|2;3,5,1,24|2;2,6,7,10|3;7,3,2,24|2;8,4,9,10|3;5,10,4,24|3;6,11,12,10|3;12,13,6,4|3;10,7,13,24|3;14,8,15,10|3;9,16,8,4|3;13,9,10,4|3;11,17,18,10|3;18,19,11,14|3;16,12,19,4|3;20,14,21,10|3;15,22,14,14|3;19,15,16,14|3;17,23,24,10|3;24,25,17,3|3;26,18,25,14|3;23,20,27,10|3;21,28,20,3|3;29,21,22,3|3;22,30,29,14|3;27,31,23,15|3;32,24,31,3|3;25,32,26,3|3;33,26,34,14|3;35,27,28,15|3;28,29,35,3|3;30,33,36,14|2;36,35,30,15|3;31,34,32,15|3;34,36,33,15|2;
z=3.10.15	claimed=5	n=7	chambers=36	sigs=List(10.24, 8.10.24, 7.8.10, 3.7.10, 3.10.15, 3.7.15, 7.15)	regularOrbits=1,4,5	irregularOrbits=0,2,3	key=1,2,3,10|2;4,1,5,10|2;3,5,1,24|2;2,6,7,10|3;7,3,2,24|2;8,4,9,10|3;5,10,4,24|3;6,11,12,10|3;12,13,6,8|3;10,7,13,24|3;14,8,15,10|3;9,16,8,8|3;13,9,10,8|3;11,17,18,10|3;18,19,11,7|3;16,12,19,8|3;20,14,21,10|3;15,22,14,7|3;19,15,16,7|3;17,23,24,10|3;24,25,17,3|3;26,18,25,7|3;23,20,27,10|3;21,28,20,3|3;29,21,22,3|3;22,30,29,7|3;27,31,23,15|3;32,24,31,3|3;25,32,26,3|3;33,26,34,7|3;35,27,28,15|3;28,29,35,3|3;30,33,36,7|2;36,35,30,15|3;31,34,32,15|3;34,36,33,15|2;
z=3.10.15	claimed=5	n=7	chambers=36	sigs=List(4.10, 4.10.12, 10.12.21, 3.10.21, 3.10.15, 3.15.21, 15.21)	regularOrbits=1,4,5	irregularOrbits=0,2,3	key=1,2,3,10|2;4,1,5,10|2;3,5,1,4|2;2,6,7,10|3;7,3,2,4|2;8,4,9,10|3;5,10,4,4|3;6,11,12,10|3;12,13,6,12|3;10,7,13,4|3;14,8,15,10|3;9,16,8,12|3;13,9,10,12|3;11,17,18,10|3;18,19,11,21|3;16,12,19,12|3;20,14,21,10|3;15,22,14,21|3;19,15,16,21|3;17,23,24,10|3;24,25,17,3|3;26,18,25,21|3;23,20,27,10|3;21,28,20,3|3;29,21,22,3|3;22,30,29,21|3;27,31,23,15|3;32,24,31,3|3;25,32,26,3|3;33,26,34,21|3;35,27,28,15|3;28,29,35,3|3;30,33,36,21|2;36,35,30,15|3;31,34,32,15|3;34,36,33,15|2;
z=3.10.15	claimed=5	n=7	chambers=36	sigs=List(4.10, 4.10.24, 10.14.24, 3.10.14, 3.10.15, 3.14.15, 14.15)	regularOrbits=1,4,5	irregularOrbits=0,2,3	key=1,2,3,10|2;4,1,5,10|2;3,5,1,4|2;2,6,7,10|3;7,3,2,4|2;8,4,9,10|3;5,10,4,4|3;6,11,12,10|3;12,13,6,24|3;10,7,13,4|3;14,8,15,10|3;9,16,8,24|3;13,9,10,24|3;11,17,18,10|3;18,19,11,14|3;16,12,19,24|3;20,14,21,10|3;15,22,14,14|3;19,15,16,14|3;17,23,24,10|3;24,25,17,3|3;26,18,25,14|3;23,20,27,10|3;21,28,20,3|3;29,21,22,3|3;22,30,29,14|3;27,31,23,15|3;32,24,31,3|3;25,32,26,3|3;33,26,34,14|3;35,27,28,15|3;28,29,35,3|3;30,33,36,14|2;36,35,30,15|3;31,34,32,15|3;34,36,33,15|2;
z=3.10.15	claimed=5	n=7	chambers=36	sigs=List(4.10, 4.8.10, 8.10.42, 3.10.42, 3.10.15, 3.15.42, 15.42)	regularOrbits=1,4,5	irregularOrbits=0,2,3	key=1,2,3,10|2;4,1,5,10|2;3,5,1,4|2;2,6,7,10|3;7,3,2,4|2;8,4,9,10|3;5,10,4,4|3;6,11,12,10|3;12,13,6,8|3;10,7,13,4|3;14,8,15,10|3;9,16,8,8|3;13,9,10,8|3;11,17,18,10|3;18,19,11,42|3;16,12,19,8|3;20,14,21,10|3;15,22,14,42|3;19,15,16,42|3;17,23,24,10|3;24,25,17,3|3;26,18,25,42|3;23,20,27,10|3;21,28,20,3|3;29,21,22,3|3;22,30,29,42|3;27,31,23,15|3;32,24,31,3|3;25,32,26,3|3;33,26,34,42|3;35,27,28,15|3;28,29,35,3|3;30,33,36,42|2;36,35,30,15|3;31,34,32,15|3;34,36,33,15|2;
z=3.10.15	claimed=5	n=7	chambers=36	sigs=List(6.10.11, 6.10.11, 10.11, 3.10.11, 3.10.15, 3.11.15, 11.15)	regularOrbits=0,3,4	irregularOrbits=1,2	key=1,2,3,10|3;4,1,5,10|3;3,6,1,11|3;2,7,8,10|3;8,9,2,6|3;10,3,9,11|3;11,4,12,10|3;5,13,4,6|3;13,5,6,6|3;6,12,13,11|3;7,14,15,10|2;15,10,7,11|3;9,8,10,6|3;16,11,17,10|2;12,17,11,11|2;14,18,19,10|3;19,15,14,11|2;20,16,21,10|3;17,22,16,11|3;18,23,24,10|3;24,25,18,3|3;26,19,25,11|3;23,20,27,10|3;21,28,20,3|3;29,21,22,3|3;22,30,29,11|3;27,31,23,15|3;32,24,31,3|3;25,32,26,3|3;33,26,34,11|3;35,27,28,15|3;28,29,35,3|3;30,33,36,11|2;36,35,30,15|3;31,34,32,15|3;34,36,33,15|2;
z=3.10.15	claimed=5	n=7	chambers=36	sigs=List(8.10, 4.8.10, 4.10.42, 3.10.42, 3.10.15, 3.15.42, 15.42)	regularOrbits=1,4,5	irregularOrbits=0,2,3	key=1,2,3,10|2;4,1,5,10|2;3,5,1,8|2;2,6,7,10|3;7,3,2,8|2;8,4,9,10|3;5,10,4,8|3;6,11,12,10|3;12,13,6,4|3;10,7,13,8|3;14,8,15,10|3;9,16,8,4|3;13,9,10,4|3;11,17,18,10|3;18,19,11,42|3;16,12,19,4|3;20,14,21,10|3;15,22,14,42|3;19,15,16,42|3;17,23,24,10|3;24,25,17,3|3;26,18,25,42|3;23,20,27,10|3;21,28,20,3|3;29,21,22,3|3;22,30,29,42|3;27,31,23,15|3;32,24,31,3|3;25,32,26,3|3;33,26,34,42|3;35,27,28,15|3;28,29,35,3|3;30,33,36,42|2;36,35,30,15|3;31,34,32,15|3;34,36,33,15|2;
z=3.10.15	claimed=5	n=7	chambers=36	sigs=List(8.10, 8.10.24, 7.10.24, 3.7.10, 3.10.15, 3.7.15, 7.15)	regularOrbits=1,4,5	irregularOrbits=0,2,3	key=1,2,3,10|2;4,1,5,10|2;3,5,1,8|2;2,6,7,10|3;7,3,2,8|2;8,4,9,10|3;5,10,4,8|3;6,11,12,10|3;12,13,6,24|3;10,7,13,8|3;14,8,15,10|3;9,16,8,24|3;13,9,10,24|3;11,17,18,10|3;18,19,11,7|3;16,12,19,24|3;20,14,21,10|3;15,22,14,7|3;19,15,16,7|3;17,23,24,10|3;24,25,17,3|3;26,18,25,7|3;23,20,27,10|3;21,28,20,3|3;29,21,22,3|3;22,30,29,7|3;27,31,23,15|3;32,24,31,3|3;25,32,26,3|3;33,26,34,7|3;35,27,28,15|3;28,29,35,3|3;30,33,36,7|2;36,35,30,15|3;31,34,32,15|3;34,36,33,15|2;
z=3.10.15	claimed=5	n=7	chambers=36	sigs=List(9.9.10, 9.10, 9.9.10, 3.9.10, 3.9.15, 3.10.15, 9.15)	regularOrbits=0,3,4	irregularOrbits=1,2	key=1,2,3,10|3;4,1,5,10|3;3,6,1,15|3;2,7,8,10|3;8,9,2,3|3;10,3,9,15|3;11,4,12,10|3;5,13,4,3|3;14,5,6,3|3;6,15,14,15|3;7,16,17,10|3;17,18,7,9|3;19,8,18,3|3;9,19,10,3|3;20,10,21,15|3;22,11,23,10|3;12,24,11,9|3;25,12,13,9|3;13,14,25,3|3;15,20,26,15|2;26,25,15,9|3;16,27,28,10|2;28,29,16,9|3;30,17,29,9|3;18,21,19,9|3;21,26,20,9|2;31,22,32,10|2;23,32,22,9|2;33,23,24,9|3;24,34,33,9|3;27,35,36,10|3;36,28,27,9|2;29,36,30,9|3;34,30,35,9|3;35,31,34,10|3;32,33,31,9|3;
z=3.10.15	claimed=5	n=7	chambers=38	sigs=List(6.6.10, 6.6.10, 6.7.10, 3.7.10, 3.10.15, 3.7.15, 7.15)	regularOrbits=1,4,5	irregularOrbits=0,2,3	key=1,2,3,10|3;4,1,5,10|3;3,6,1,15|3;2,7,8,10|3;8,9,2,3|3;10,3,9,15|3;11,4,12,10|3;5,13,4,3|3;14,5,6,3|3;6,15,14,15|3;7,16,17,10|3;17,18,7,7|3;19,8,18,3|3;9,19,10,3|3;20,10,21,15|3;22,11,23,10|3;12,24,11,7|3;25,12,13,7|3;13,14,25,3|3;15,20,26,15|2;26,25,15,7|3;16,27,28,10|3;28,29,16,6|3;24,17,29,7|3;18,21,19,7|3;21,26,20,7|2;30,22,31,10|3;23,32,22,6|3;29,23,24,6|3;27,33,34,10|3;34,35,27,6|3;36,28,35,6|3;33,30,37,10|3;31,38,30,6|3;38,31,32,6|3;32,37,38,6|3;37,36,33,6|3;35,34,36,6|3;
